,Spieler,Nation,Nationalelf
2882,Jeong-Ho Hong,['Südkorea'],Südkorea
2883,Per Skjelbred,['Norwegen'],Norwegen
2884,Márcio Borges,['Brasilien'],Brasilien
2885,Dieter Schulz,['Deutschland'],Deutschland
2886,Edi Glieder,['Österreich'],Österreich
2887,Ferdinand Heidkamp,['Deutschland'],Deutschland
2888,Helmut Schmidt,['Deutschland'],Deutschland
2889,Federico Palacios Martínez,"['Spanien', 'Deutschland']",Spanien
2890,Marc Pfertzel,['Frankreich'],Frankreich
2891,Markus von Ahlen,['Deutschland'],Deutschland
2892,Josef Weilbächer,['Deutschland'],Deutschland
2893,Sławomir Peszko,['Polen'],Polen
2894,Achim Wilbois,['Deutschland'],Deutschland
2895,Vanco Balevski,['Nordmazedonien'],Nordmazedonien
2896,Erwin Piechowiak,['Deutschland'],Deutschland
2897,Wesley,['Brasilien'],Brasilien
2898,David Degen,['Schweiz'],Schweiz
2899,Peter Engler,['Deutschland'],Deutschland
2900,Peter Pumm,['Österreich'],Österreich
2901,Christian Beeck,['Deutschland'],Deutschland
2902,Holger Dieckmann,['Deutschland'],Deutschland
2903,Leonardo Manzi,"['Brasilien', 'Italien']",Brasilien
2904,Frank Saborowski,['Deutschland'],Deutschland
2905,Serhij Dichtjar,['Ukraine'],Ukraine
2906,Exequiel Palacios,['Argentinien'],Argentinien
2907,Adam Zrelak,['Slowakei'],Slowakei
2908,Ahmed Hosny,['Ägypten'],Ägypten
2909,Friedhelm Otters,['Deutschland'],Deutschland
2910,Papy Djilobodji,['Senegal'],Senegal
2911,Dirk Kontny,['Deutschland'],Deutschland
2912,Julian Ryerson,['Norwegen'],Norwegen
2913,Fábio Júnior,['Brasilien'],Brasilien
2914,Joakim Nilsson,['Schweden'],Schweden
2915,Vanja Grubač,['Montenegro'],Montenegro
2916,Rainer Skrotzki,['Deutschland'],Deutschland
2917,Younès Belhanda,"['Marokko', 'Frankreich']",Marokko
2918,Mario Kern,['Deutschland'],Deutschland
2919,Jean-Santos Muntubila,['DR Kongo'],DR Kongo
2920,Roman Geschlecht,"['Deutschland', 'Polen']",Deutschland
2921,Karlheinz Höfer,['Deutschland'],Deutschland
2922,Winfried Mittrowski,['Deutschland'],Deutschland
2923,Tomáš Ujfaluši,['Tschechien'],Tschechien
2924,Nico Herzig,['Deutschland'],Deutschland
2925,Tim Kleindienst,['Deutschland'],Deutschland
2926,Matthias Stammann,['Deutschland'],Deutschland
2927,Horst Wenzel,['Deutschland'],Deutschland
2928,Morten Olsen,['Dänemark'],Dänemark
2929,Felix Passlack,['Deutschland'],Deutschland
2930,Heinz Stauvermann,['Deutschland'],Deutschland
2931,Wolfgang Neumann,['Deutschland'],Deutschland
2932,Oliver Barth,['Deutschland'],Deutschland
2933,Mišo Brečko,['Slowenien'],Slowenien
2934,Horst Knauf,['Deutschland'],Deutschland
2935,Lars Jungnickel,['Deutschland'],Deutschland
2936,Alejandro Gálvez,['Spanien'],Spanien
2937,Erik Jendrišek,['Slowakei'],Slowakei
2938,Bernhard Metz,['Deutschland'],Deutschland
2939,Federico Insúa,['Argentinien'],Argentinien
2940,Abédi Pelé,['Ghana'],Ghana
2941,Ludwig Augustinsson,['Schweden'],Schweden
2942,Ranisav Jovanović,"['Deutschland', 'Serbien']",Deutschland
2943,Cléber Reis,['Brasilien'],Brasilien
2944,Alexander Laas,['Deutschland'],Deutschland
2945,Georg Margreitter,['Österreich'],Österreich
2946,Sascha Dum,['Deutschland'],Deutschland
2947,Willi Wagner,['Deutschland'],Deutschland
2948,Michael Mifsud,['Malta'],Malta
2949,Manuel Schmiedebach,['Deutschland'],Deutschland
2950,José Sosa,['Argentinien'],Argentinien
2951,Marcel Ziemer,['Deutschland'],Deutschland
2952,Petar Chubtschew,"['Bulgarien', 'Deutschland']",Bulgarien
2953,Peter Dahl,['Dänemark'],Dänemark
2954,Steve Gohouri,"[""Elfenbeinküste"", 'Frankreich']",Elfenbeinküste
2955,Michael Rösele,['Deutschland'],Deutschland
2956,Helmut Vorreiter,['Polen'],Polen
2957,Thomas Kleine,['Deutschland'],Deutschland
2958,Jung-Hwan Ahn,['Südkorea'],Südkorea
2959,Norbert Dörmann,['Deutschland'],Deutschland
2960,Louis Schaub,['Österreich'],Österreich
2961,Tolgay Arslan,"['Deutschland', 'Türkei']",Deutschland
2962,Murat Yakin,['Schweiz'],Schweiz
2963,Thomas Winter,['Deutschland'],Deutschland
2964,Peter Graulund,['Dänemark'],Dänemark
2965,Tim Lemperle,['Deutschland'],Deutschland
2966,Uwe Schreml,['Deutschland'],Deutschland
2967,Hiroki Sakai,['Japan'],Japan
2968,Peter Enders,['Deutschland'],Deutschland
2969,Hans Sarpei,"['Ghana', 'Deutschland']",Ghana
2970,Kai Herdling,['Deutschland'],Deutschland
2971,Sebastian Schoof,['Deutschland'],Deutschland
2972,Junior Malanda,['Belgien'],Belgien
2973,Dirk Riechmann,['Deutschland'],Deutschland
2974,Christian Peukert,['Deutschland'],Deutschland
2975,Sandro Sirigu,"['Deutschland', 'Italien']",Deutschland
2976,Carsten Keuler,['Deutschland'],Deutschland
2977,Hermann Höfer,['Deutschland'],Deutschland
2978,Diadie Samassekou,['Mali'],Mali
2979,Robert Vagner,['Tschechien'],Tschechien
2980,Klaus Amrath,['Deutschland'],Deutschland
2981,Salih Özcan,['Deutschland'],Deutschland
2982,Mads Pedersen,['Dänemark'],Dänemark
2983,Steen Thychosen,['Dänemark'],Dänemark
2984,Marvin Ducksch,['Deutschland'],Deutschland
2985,Dorge Kouemaha,['Kamerun'],Kamerun
2986,Denis Lapaczinski,['Deutschland'],Deutschland
2987,Andrzej Lesiak,['Polen'],Polen
2988,Thomas Adler,['Deutschland'],Deutschland
2989,Rudolf Wójtowicz,['Polen'],Polen
2990,Marvin Bakalorz,['Deutschland'],Deutschland
2991,Izet Hajrovic,"['Bosnien-Herzegowina', 'Schweiz']",Bosnien-Herzegowina
2992,Peter Gruber,['Deutschland'],Deutschland
2993,Tim Sebastian,['Deutschland'],Deutschland
2994,Ivan Zugcic,['Kroatien'],Kroatien
2995,Petr Gabriel,['Tschechien'],Tschechien
2996,Leandro,['Brasilien'],Brasilien
2997,Marc Arnold,['Deutschland'],Deutschland
2998,Emanuel Pogatetz,['Österreich'],Österreich
2999,Rabbi Matondo,"['Wales', 'England']",Wales
3000,Günther Michl,['Deutschland'],Deutschland
3001,Manfred Reichert,['Deutschland'],Deutschland
3002,Klaus Gjasula,['Deutschland'],Deutschland
3003,Rodrigo Costa,['Brasilien'],Brasilien
3004,Michael Grünewald,['Deutschland'],Deutschland
3005,Jens Lehmann,['Deutschland'],Deutschland
3006,Bent Jan Jensen,['Dänemark'],Dänemark
3007,Helmut Schimeczek,['Deutschland'],Deutschland
3008,Chang-Hoon Kwon,['Südkorea'],Südkorea
3009,Pierre Womé,['Kamerun'],Kamerun
3010,Uwe Haas,['Deutschland'],Deutschland
3011,Niclas Kindvall,['Schweden'],Schweden
3012,Stefan Buck,['Deutschland'],Deutschland
3013,Felix Uduokhai,['Deutschland'],Deutschland
3014,Jörg Schwanke,['Deutschland'],Deutschland
3015,Wolfgang Rosenfeldt,['Deutschland'],Deutschland
3016,Holger Greilich,['Deutschland'],Deutschland
3017,Erik Willaarts,['Niederlande'],Niederlande
3018,Uwe Grauer,['Deutschland'],Deutschland
3019,Reiner Edelmann,['Deutschland'],Deutschland
3020,Niclas Jensen,['Dänemark'],Dänemark
3021,Harry Gniech,['Deutschland'],Deutschland
3022,Dirk van der Ven,['Deutschland'],Deutschland
3023,Horst Leupold,['Deutschland'],Deutschland
3024,Milan Badelj,['Kroatien'],Kroatien
3025,Edmond Tapsoba,['Burkina Faso'],Burkina Faso
3026,Christian Lell,"['Deutschland', 'Österreich']",Deutschland
3027,Olaf Schreiber,['Deutschland'],Deutschland
3028,Norbert Hof,['Österreich'],Österreich
3029,Peter Rühmkorb,['Deutschland'],Deutschland
3030,Jeremy Dudziak,"['Deutschland', 'Ghana']",Deutschland
3031,Cauly Oliveira Souza,"['Brasilien', 'Deutschland']",Brasilien
3032,Pétur Ormslev,['Island'],Island
3033,Jonjoe Kenny,['England'],England
3034,Timo Baumgartl,['Deutschland'],Deutschland
3035,Thomas Zampach,['Deutschland'],Deutschland
3036,Bernd Eigner,['Deutschland'],Deutschland
3037,Thomas Klepper,['Deutschland'],Deutschland
3038,Dieter Heinrichs,['Deutschland'],Deutschland
3039,Andreas Gielchen,['Deutschland'],Deutschland
3040,Detsi Kruszyński,['Polen'],Polen
3041,Heiner Klose,['Deutschland'],Deutschland
3042,Marc Bartra,['Spanien'],Spanien
3043,Michal Papadopulos,['Tschechien'],Tschechien
3044,Kai Pröger,['Deutschland'],Deutschland
3045,Lucas Piazón,"['Brasilien', 'Italien']",Brasilien
3046,Hans-Jürgen Gede,['Deutschland'],Deutschland
3047,Louis Gomis,['Senegal'],Senegal
3048,Jörg Wolff,['Deutschland'],Deutschland
3049,Michael Molata,['Deutschland'],Deutschland
3050,Volker Rudel,['Deutschland'],Deutschland
3051,Omar Mascarell,['Spanien'],Spanien
3052,Frederik Sørensen,['Dänemark'],Dänemark
3053,Borja Mayoral,['Spanien'],Spanien
3054,Bryan Lasme,['Frankreich'],Frankreich
3055,Moritz Leitner,['Deutschland'],Deutschland
3056,Guy Demel,"[""Elfenbeinküste"", 'Frankreich']",Elfenbeinküste
3057,Hans Ripp,['Deutschland'],Deutschland
3058,Josef Marx,['Deutschland'],Deutschland
3059,Joško Gvardiol,['Kroatien'],Kroatien
3060,Kevin Pezzoni,['Deutschland'],Deutschland
3061,Pavel Drsek,['Tschechien'],Tschechien
3062,Ulf Mehlhorn,['Deutschland'],Deutschland
3063,Ulrich Büscher,['Deutschland'],Deutschland
3064,Frank Nitsche,['Deutschland'],Deutschland
3065,Ewald Schäffner,['Deutschland'],Deutschland
3066,Reinhold Tattermusch,['Deutschland'],Deutschland
3067,Helmut Rombach,['Deutschland'],Deutschland
3068,Detlef Olaidotter,['Deutschland'],Deutschland
3069,Ricardo-Horacio Neumann,['Argentinien'],Argentinien
3070,Stefan Kutschke,['Deutschland'],Deutschland
3071,Jochen Müller,['Deutschland'],Deutschland
3072,Hans-Günther Kroth,['Deutschland'],Deutschland
3073,Daniel Imhof,['Deutschland'],Deutschland
3074,Jürgen Dringelstein,['Deutschland'],Deutschland
3075,Ioannis Masmanidis,['Deutschland'],Deutschland
3076,Marc-André Kruska,['Deutschland'],Deutschland
3077,Andrij Polunin,['Ukraine'],Ukraine
3078,Petr Rada,['Tschechien'],Tschechien
3079,Bertram Beierlorzer,['Deutschland'],Deutschland
3080,Athirson,['Brasilien'],Brasilien
3081,Jens Keller,['Deutschland'],Deutschland
3082,Hermann Lindner,['Deutschland'],Deutschland
3083,Fred Englert,['Deutschland'],Deutschland
3084,Niklas Dorsch,['Deutschland'],Deutschland
3085,Daniel Schumann,['Deutschland'],Deutschland
3086,Minas Hantzidis,['Griechenland'],Griechenland
3087,Josef Hofmeister,['Deutschland'],Deutschland
3088,Lamine Sané,"['Senegal', 'Frankreich']",Senegal
3089,Detlef Schnier,['Deutschland'],Deutschland
3090,Fahrudin Jusufi,['Serbien'],Serbien
3091,Chinedu Ede,['Deutschland'],Deutschland
3092,Kim Madsen,['Dänemark'],Dänemark
3093,Roger,['Brasilien'],Brasilien
3094,José Basualdo,['Argentinien'],Argentinien
3095,Paweł Olkowski,['Polen'],Polen
3096,Wolfgang Brase,['Deutschland'],Deutschland
3097,Angelo Stiller,['Deutschland'],Deutschland
3098,Ken Ilsø,['Dänemark'],Dänemark
3099,Donis Avdijaj,['Deutschland'],Deutschland
3100,Erich Seckler,['Deutschland'],Deutschland
3101,Brasília,['Brasilien'],Brasilien
3102,Benno Magnusson,['Schweden'],Schweden
3103,Rudolf Kölbl,['Deutschland'],Deutschland
3104,Jürgen Pontes,['Deutschland'],Deutschland
3105,Hermann Knöppel,['Deutschland'],Deutschland
3106,Urban Klausmann,['Deutschland'],Deutschland
3107,David Nielsen,['Dänemark'],Dänemark
3108,Günter Kuczinski,['Deutschland'],Deutschland
3109,Benjamin Huggel,['Schweiz'],Schweiz
3110,Marco Friedl,['Österreich'],Österreich
3111,Robin Hack,['Deutschland'],Deutschland
3112,Richard Sukuta-Pasu,['Deutschland'],Deutschland
3113,Heinz Poll,['Deutschland'],Deutschland
3114,Paulo Sousa,['Portugal'],Portugal
3115,Çağlar Söyüncü,['Türkei'],Türkei
3116,Terrence Boyd,"['USA', 'Deutschland']",USA
3117,Ceyhun Gülselam,"['Türkei', 'Deutschland']",Türkei
3118,Keita Endo,['Japan'],Japan
3119,Olivier Occéan,['Kanada'],Kanada
3120,Felix Bastians,['Deutschland'],Deutschland
3121,Rudi Vata,['Albanien'],Albanien
3122,Samir Toplak,['Kroatien'],Kroatien
3123,Matthias Liebers,['Deutschland'],Deutschland
3124,Albin Ekdal,['Schweden'],Schweden
3125,Szilárd Németh,['Slowakei'],Slowakei
3126,Alfred Roscher,['Österreich'],Österreich
3127,Daniel Williams,"['USA', 'Deutschland']",USA
3128,Heinz-Dieter Borgmann,['Deutschland'],Deutschland
3129,Luca Netz,['Deutschland'],Deutschland
3130,Carlos Gruezo,['Ecuador'],Ecuador
3131,Zdeněk Pospěch,['Tschechien'],Tschechien
3132,Jamilu Collins,['Nigeria'],Nigeria
3133,Iulian Filipescu,['Rumänien'],Rumänien
3134,Rudi Istenic,['Slowenien'],Slowenien
3135,Herwart Koppenhöfer,['Deutschland'],Deutschland
3136,Florent Hadergjonaj,"['Schweiz', 'Kosovo']",Schweiz
3137,Jürgen Boduszek,['Deutschland'],Deutschland
3138,Luca Caldirola,['Italien'],Italien
3139,Tobias Willi,['Deutschland'],Deutschland
3140,Andreas Hinkel,['Deutschland'],Deutschland
3141,Dieter Burdenski,['Deutschland'],Deutschland
3142,Joseph Akpala,"['Nigeria', 'Belgien']",Nigeria
3143,Besart Berisha,['Albanien'],Albanien
3144,Jürgen Willkomm,['Deutschland'],Deutschland
3145,Werner Pöhler,['Deutschland'],Deutschland
3146,Coke,['Spanien'],Spanien
3147,Marouene Guezmir,['Tunesien'],Tunesien
3148,Lúcio,['Brasilien'],Brasilien
3149,Torsten Fröhling,['Deutschland'],Deutschland
3150,Zvezdan Cvetković,['Kroatien'],Kroatien
3151,Diego Demme,"['Deutschland', 'Italien']",Deutschland
3152,Lars Unger,['Deutschland'],Deutschland
3153,Michael Wittwer,['Deutschland'],Deutschland
3154,Hans-Werner Kremer,['Deutschland'],Deutschland
3155,Gottfried Peter,['Deutschland'],Deutschland
3156,Kingsley Ehizibue,"['Niederlande', 'Nigeria']",Niederlande
3157,Heinz Kulik,['Deutschland'],Deutschland
3158,Bartosz Kapustka,['Polen'],Polen
3159,Boubacar Diarra,"['Mali', 'Frankreich']",Mali
3160,Peter Eggert,['Deutschland'],Deutschland
3161,Bojan,"['Spanien', 'Serbien']",Spanien
3162,Bamba Anderson,['Brasilien'],Brasilien
3163,Werner Mangold,['Deutschland'],Deutschland
3164,Bernardo,['Brasilien'],Brasilien
3165,Ralf Zumdick,['Deutschland'],Deutschland
3166,Sebastian Vasiliadis,"['Deutschland', 'Griechenland']",Deutschland
3167,Ilir Azemi,['Kosovo'],Kosovo
3168,Klaus Wischniewski,['Deutschland'],Deutschland
3169,Florian Kath,['Deutschland'],Deutschland
3170,Melvyn Lorenzen,['Deutschland'],Deutschland
3171,Myziane Maolida,['Frankreich'],Frankreich
3172,Arne Maier,['Deutschland'],Deutschland
3173,Marc Vucinovic,['Deutschland'],Deutschland
3174,Uli Bayerschmidt,['Deutschland'],Deutschland
3175,Eckehard Müller,['Deutschland'],Deutschland
3176,Leo Bunk,['Deutschland'],Deutschland
3177,Gideon Jung,"['Deutschland', 'Ghana']",Deutschland
3178,Heinz Schönberger,['Deutschland'],Deutschland
3179,Andreas Ridder,['Deutschland'],Deutschland
3180,Timo Hübers,['Deutschland'],Deutschland
3181,Jesús Vallejo,['Spanien'],Spanien
3182,Michael Lamey,['Niederlande'],Niederlande
3183,Dieter Schock,['Deutschland'],Deutschland
3184,Reinier,['Brasilien'],Brasilien
3185,Bård Finne,['Norwegen'],Norwegen
3186,Emir Džafić,['Slowenien'],Slowenien
3187,Marko Schröder,['Deutschland'],Deutschland
3188,Horst Ehrmantraut,['Deutschland'],Deutschland
3189,Sam Lammers,['Niederlande'],Niederlande
3190,Horst Bender,['Deutschland'],Deutschland
3191,Dieter Danzberg,['Deutschland'],Deutschland
3192,Peter Rasmussen,['Dänemark'],Dänemark
3193,Rudolf Koch,['Deutschland'],Deutschland
3194,Zezé,['Brasilien'],Brasilien
3195,Maxence Lacroix,['Frankreich'],Frankreich
3196,Benjamin Weigelt,['Deutschland'],Deutschland
3197,Elard Ostermann,['Deutschland'],Deutschland
3198,Klaus Franke,['Deutschland'],Deutschland
3199,Lucas Ribeiro,['Brasilien'],Brasilien
3200,Christopher Schorch,['Deutschland'],Deutschland
3201,Tobias Rathgeb,['Deutschland'],Deutschland
3202,Hans-Jürgen Offermanns,['Deutschland'],Deutschland
3203,Friedrich Wagner,['Deutschland'],Deutschland
3204,Uwe Witt,['Deutschland'],Deutschland
3205,Manuel Prietl,['Österreich'],Österreich
3206,Jari Litmanen,['Finnland'],Finnland
3207,Christo Jowow,['Bulgarien'],Bulgarien
3208,Oldřich Machala,['Tschechien'],Tschechien
3209,Ralf Heym,['Deutschland'],Deutschland
3210,Claudius Weber,['Deutschland'],Deutschland
3211,Sławomir Chałaśkiewicz,['Polen'],Polen
3212,Manfred Schnalke,['Deutschland'],Deutschland
3213,Heinz-Rudolf Weiler,['Deutschland'],Deutschland
3214,Darko Pivaljevic,['Serbien'],Serbien
3215,Falk Dörr,['Deutschland'],Deutschland
3216,Taner Yalçın,"['Deutschland', 'Türkei']",Deutschland
3217,Kamil Kosowski,['Polen'],Polen
3218,Uwe Kober,['Deutschland'],Deutschland
3219,Thomas Klein,['Deutschland'],Deutschland
3220,Lorenz Hilkes,['Deutschland'],Deutschland
3221,Johann Cichy,['Deutschland'],Deutschland
3222,Fabian Frei,['Schweiz'],Schweiz
3223,Dani Carvajal,['Spanien'],Spanien
3224,Nassim Boujellab,['Deutschland'],Deutschland
3225,Uwe Bredow,['Deutschland'],Deutschland
3226,Vlado Kasalo,['Kroatien'],Kroatien
3227,Marwin Hitz,['Schweiz'],Schweiz
3228,Aleksandar Ignjovski,['Serbien'],Serbien
3229,Evanggelos Mantzios,['Griechenland'],Griechenland
3230,Lothar Weschke,['Deutschland'],Deutschland
3231,Thomas Rytter,['Dänemark'],Dänemark
3232,Toralf Konetzke,['Deutschland'],Deutschland
3233,Stephan Täuber,['Deutschland'],Deutschland
3234,Jochen Novodomsky,['Deutschland'],Deutschland
3235,Immanuel Höhn,['Deutschland'],Deutschland
3236,Ivan Santini,['Kroatien'],Kroatien
3237,Srečko Katanec,['Slowenien'],Slowenien
3238,Einar Jan Aas,['Norwegen'],Norwegen
3239,Angelo Vier,['Deutschland'],Deutschland
3240,Klaus-Dieter Dewinski,['Deutschland'],Deutschland
3241,Marc Berdoll,['Frankreich'],Frankreich
3242,Jaime,['Spanien'],Spanien
3243,Ramon,['Brasilien'],Brasilien
3244,Rolf Grünther,['Deutschland'],Deutschland
3245,Hans-Günter Schimmöller,['Deutschland'],Deutschland
3246,Philipp Hosiner,['Österreich'],Österreich
3247,Silvio Adzic,['Deutschland'],Deutschland
3248,Waldemar Ksienzyk,['Deutschland'],Deutschland
3249,Ralf Bödeker,['Deutschland'],Deutschland
3250,Allan Jepsen,['Dänemark'],Dänemark
3251,Reinhold Jessl,['Deutschland'],Deutschland
3252,Björn Andersson,['Schweden'],Schweden
3253,Faruk Hujdurović,['Bosnien-Herzegowina'],Bosnien-Herzegowina
3254,Walter Gruler,['Deutschland'],Deutschland
3255,Klaus Bohnsack,['Deutschland'],Deutschland
3256,Eren Sami Dinkci,['Deutschland'],Deutschland
3257,Deyverson,['Brasilien'],Brasilien
3258,Flávio Conceição,['Brasilien'],Brasilien
3259,Sergej Mandreko,"['Russland', 'Tadschikistan']",Russland
3260,Toni Schreier,['Deutschland'],Deutschland
3261,Volker Klein,['Deutschland'],Deutschland
3262,Michael Toppel,['Deutschland'],Deutschland
3263,Jürgen Glinka,['Deutschland'],Deutschland
3264,Cristian Gamboa,['Costa Rica'],Costa Rica
3265,Stanko Svitlica,['Serbien'],Serbien
3266,Rewas Arweladse,['Georgien'],Georgien
3267,Karl-Heinz Wöhrlin,['Deutschland'],Deutschland
3268,Toni Šunjić,"['Bosnien-Herzegowina', 'Kroatien']",Bosnien-Herzegowina
3269,Andreas Lambertz,['Deutschland'],Deutschland
3270,Klaus Kösling,['Deutschland'],Deutschland
3271,Jelle Van Damme,['Belgien'],Belgien
3272,Gerd Schwidrowski,['Deutschland'],Deutschland
3273,Josef Thelen,['Deutschland'],Deutschland
3274,Walter Wimmer,['Deutschland'],Deutschland
3275,Ricardo Sousa,['Portugal'],Portugal
3276,Dumitru Nadu,['Rumänien'],Rumänien
3277,Helmut Lausen,['Deutschland'],Deutschland
3278,Ulrich Kallius,['Deutschland'],Deutschland
3279,Linus Gechter,['Deutschland'],Deutschland
3280,Stephan Fürstner,['Deutschland'],Deutschland
3281,Thomas Ridder,['Deutschland'],Deutschland
3282,Baptiste Santamaría,['Frankreich'],Frankreich
3283,Mickäel Tavares,['Senegal'],Senegal
3284,Eberhard Strauch,['Deutschland'],Deutschland
3285,Helmut Tybussek,['Deutschland'],Deutschland
3286,Thanos Petsos,"['Griechenland', 'Deutschland']",Griechenland
3287,Frank Wiblishauser,['Deutschland'],Deutschland
3288,Frank Elser,['Deutschland'],Deutschland
3289,Edi Stöhr,['Deutschland'],Deutschland
3290,Hans-Dieter Mirnegg,['Österreich'],Österreich
3291,Deyovaisio Zeefuik,['Niederlande'],Niederlande
3292,Leonidas Kampantais,['Griechenland'],Griechenland
3293,Hassan El-Fakiri,['Norwegen'],Norwegen
3294,Gernot Plassnegger,['Österreich'],Österreich
3295,Tore Pedersen,['Norwegen'],Norwegen
3296,Gerhard Steinkogler,['Österreich'],Österreich
3297,Hans Zengerle,['Deutschland'],Deutschland
3298,Willibald Mikulasch,['Deutschland'],Deutschland
3299,Jonathan Santana,['Argentinien'],Argentinien
3300,Marc Stein,['Deutschland'],Deutschland
3301,Oliver Unsöld,['Deutschland'],Deutschland
3302,Stephan Hanke,['Deutschland'],Deutschland
3303,Heinz Tochtermann,['Deutschland'],Deutschland
3304,Atsuto Uchida,['Japan'],Japan
3305,Andreas Ibertsberger,['Österreich'],Österreich
3306,Miiko Albornoz,"['Chile', 'Schweden']",Chile
3307,Patrick Funk,['Deutschland'],Deutschland
3308,David Rozehnal,['Tschechien'],Tschechien
3309,Carlos Grossmüller,"['Uruguay', 'Deutschland']",Uruguay
3310,Søren Colding,['Dänemark'],Dänemark
3311,Sercan Sararer,"['Türkei', 'Spanien']",Türkei
3312,Alpay Özalan,['Türkei'],Türkei
3313,Slatko Jankow,['Bulgarien'],Bulgarien
3314,Murat Jasarević,['Bosnien-Herzegowina'],Bosnien-Herzegowina
3315,Günther Bansemer,['Deutschland'],Deutschland
3316,Manfred Frankowski,['Deutschland'],Deutschland
3317,Virgil Misidjan,"['Niederlande', 'Suriname']",Niederlande
3318,Daniel Gygax,['Schweiz'],Schweiz
3319,Hans Mayer,['Deutschland'],Deutschland
3320,Aarón Martín,['Spanien'],Spanien
3321,Kevin Kratz,['Deutschland'],Deutschland
3322,Bernd Nehrig,['Deutschland'],Deutschland
3323,Juvhel Tsoumou,['Deutschland'],Deutschland
3324,Marc Zellweger,['Schweiz'],Schweiz
3325,Winfried Geier,['Deutschland'],Deutschland
3326,Peter Rohrschneider,['Deutschland'],Deutschland
3327,Vincent Kompany,"['Belgien', 'DR Kongo']",Belgien
3328,Dominik Reinhardt,['Deutschland'],Deutschland
3329,Hans-Jürgen Kurrat,['Deutschland'],Deutschland
3330,Joseph Scally,['USA'],USA
3331,Iver Fossum,['Norway'],Norway
3332,Jan Kliment,['Tschechien'],Tschechien
3333,Franco Zuculini,"['Argentinien', 'Italien']",Argentina
3334,Cory Gibbs,['USA'],USA
3335,Klaus Iwanzik,['Deutschland'],Deutschland
3336,Reinhold Yabo,"['Deutschland', 'DR Kongo']",Deutschland
3337,Diego León,['Spanien'],Spanien
3338,Thomas Langbein,['Deutschland'],Deutschland
3339,Delano Burgzorg,['Niederlande'],Niederlande
3340,Timo Wenzel,['Deutschland'],Deutschland
3341,Alexander Opoku,['Ghana'],Ghana
3342,Manfred Ebenhöh,['Deutschland'],Deutschland
3343,Danny Fuchs,['Deutschland'],Deutschland
3344,Matthias Fritz,['Deutschland'],Deutschland
3345,Wolfgang Kneib,['Deutschland'],Deutschland
3346,Marco Sailer,['Deutschland'],Deutschland
3347,Rodrigo,['Brasilien'],Brasilien
3348,Hans-Werner Moors,['Deutschland'],Deutschland
3349,Andrea Barzagli,['Italien'],Italien
3350,Bruno Berner,['Schweiz'],Schweiz
3351,Markus Bähr,['Deutschland'],Deutschland
3352,Werner Habiger,['Deutschland'],Deutschland
3353,Bernd Gerstner,['Deutschland'],Deutschland
3354,Felix Agu,['Deutschland'],Deutschland
3355,Peter Stichler,['Deutschland'],Deutschland
3356,Roland Benschneider,['Deutschland'],Deutschland
3357,Didier Dheedene,['Belgien'],Belgien
3358,Sebastian Griesbeck,['Deutschland'],Deutschland
3359,Peter Koßmann,['Deutschland'],Deutschland
3360,Santiago Ascacibar,['Argentinien'],Argentinien
3361,Viorel Ion,['Rumänien'],Rumänien
3362,Marco Meyerhöfer,['Deutschland'],Deutschland
3363,Volker Abramczik,['Deutschland'],Deutschland
3364,Manfred Manglitz,['Deutschland'],Deutschland
3365,Florian Heller,['Deutschland'],Deutschland
3366,Marco Stiepermann,['Deutschland'],Deutschland
3367,Đorđije Ćetković,['Montenegro'],Montenegro
3368,János Hrutka,['Ungarn'],Ungarn
3369,Stefan Ertl,['Deutschland'],Deutschland
3370,Danijel Pranjić,['Kroatien'],Kroatien
3371,Youssef Mokhtari,"['Marokko', 'Deutschland']",Marokko
3372,Reinhard Schmitz,['Deutschland'],Deutschland
3373,Thomas Kahlenberg,['Dänemark'],Dänemark
3374,Manfred Stefes,['Deutschland'],Deutschland
3375,Runald Ossen,['Deutschland'],Deutschland
3376,Henrik Eichenauer,['Deutschland'],Deutschland
3377,Maxim Leitsch,['Deutschland'],Deutschland
3378,John Mosquera,['Kolumbien'],Kolumbien
3379,Thimothée Atouba,['Kamerun'],Kamerun
3380,Kay Stisi,['Deutschland'],Deutschland
3381,Kurt Lang,['Deutschland'],Deutschland
3382,Detlef Krella,['Deutschland'],Deutschland
3383,Kingsley Schindler,['Deutschland'],Deutschland
3384,Simon Falette,['Frankreich'],Frankreich
3385,Joo-Ho Park,['Südkorea'],Südkorea
3386,Petar Musa,['Kroatien'],Kroatien
3387,Alfonso García,['Spanien'],Spanien
3388,Damir Stojak,['Serbien'],Serbien
3389,Matthias Ruländer,['Deutschland'],Deutschland
3390,Jarosław Biernat,['Polen'],Polen
3391,Stefan Majewski,['Polen'],Polen
3392,Törles Knöll,['Deutschland'],Deutschland
3393,Phillipp Mwene,"['Österreich', 'Ruanda']",Österreich
3394,Slobodan Medojević,['Serbien'],Serbien
3395,Kléber,['Brasilien'],Brasilien
3396,Saša Marković,['Serbien'],Serbien
3397,Thomas Ziemer,['Deutschland'],Deutschland
3398,Michael Zimmer,['Deutschland'],Deutschland
3399,Felix Götze,['Deutschland'],Deutschland
3400,Gerd Schneider,['Deutschland'],Deutschland
3401,Mohamed Simakan,['Frankreich'],Frankreich
3402,Olcay Şahan,"['Türkei', 'Deutschland']",Türkei
3403,Ünal Alpuğan,['Deutschland'],Deutschland
