,Spieler,Nation,Nationalelf
604,Eberhard Carl,['Deutschland'],Deutschland
605,Ishak Belfodil,"['Algerien', 'Frankreich']",Algerien
606,Stefan Reuter,['Deutschland'],Deutschland
607,Uwe Kliemann,['Deutschland'],Deutschland
608,Klaus Beverungen,['Deutschland'],Deutschland
609,Marcell Jansen,['Deutschland'],Deutschland
610,Naohiro Takahara,['Japan'],Japan
611,Stephan Paßlack,['Deutschland'],Deutschland
612,Dirk Lottner,['Deutschland'],Deutschland
613,Josef Weikl,['Deutschland'],Deutschland
614,Uwe Tschiskale,['Deutschland'],Deutschland
615,Bernd Förster,['Deutschland'],Deutschland
616,Bordon,"['Brasilien', 'Italien']",Brasilien
617,Juan Arango,"['Venezuela', 'Spanien']",Venezuela
618,Tasso Wild,['Deutschland'],Deutschland
619,Alex Alves,['Brasilien'],Brasilien
620,Stefan Aigner,['Deutschland'],Deutschland
621,Jörg Heinrich,['Deutschland'],Deutschland
622,Jan Schlaudraff,['Deutschland'],Deutschland
623,Kurt Jara,['Österreich'],Österreich
624,David Alaba,['Österreich'],Österreich
625,Ebi Smolarek,"['Polen', 'Niederlande']",Polen
626,Markus Feldhoff,['Deutschland'],Deutschland
627,Peter Peschel,['Deutschland'],Deutschland
628,Franz Krauthausen,['Deutschland'],Deutschland
629,Helmut Hermann,['Deutschland'],Deutschland
630,Demba Ba,['Senegal'],Senegal
631,Rolf Blau,['Deutschland'],Deutschland
632,Sébastien Haller,"['Frankreich', ""Elfenbeinküste""]",Elfenbeinküste
633,Michael Tarnat,['Deutschland'],Deutschland
634,Heinz Gründel,['Deutschland'],Deutschland
635,Marco Russ,['Deutschland'],Deutschland
636,Gilbert Gress,"['Schweiz', 'Frankreich']",Schweiz
637,Jacek Krzynowek,['Polen'],Polen
638,Dodi Lukebakio,"['Belgien', 'DR Kongo']",Belgien
639,Guido Burgstaller,['Österreich'],Österreich
640,Jan Rosenthal,['Deutschland'],Deutschland
641,Lucas Höler,['Deutschland'],Deutschland
642,Sebastian Kehl,['Deutschland'],Deutschland
643,Jean-Philippe Mateta,['Frankreich'],Frankreich
644,Karlheinz Geils,['Deutschland'],Deutschland
645,Leroy Sané,"['Deutschland', 'Frankreich']",Deutschland
646,Uwe Bracht,['Deutschland'],Deutschland
647,Heinz Stickel,['Deutschland'],Deutschland
648,Ciprian Marica,['Rumänien'],Rumänien
649,Lothar Schämer,['Deutschland'],Deutschland
650,Christian Eigler,['Deutschland'],Deutschland
651,Lothar Sippel,['Deutschland'],Deutschland
652,René Tretschok,['Deutschland'],Deutschland
653,Hans Rebele,['Deutschland'],Deutschland
654,Henrich Mchitarjan,['Armenien'],Armenien
655,Theodor Gebre Selassie,"['Tschechien', 'Äthiopien']",Tschechien
656,Julian Draxler,['Deutschland'],Deutschland
657,Pablo Thiam,"['Guinea', 'Deutschland']",Guinea
658,Franz Merkhoffer,['Deutschland'],Deutschland
659,Uwe Wassmer,['Deutschland'],Deutschland
660,Henri Fuchs,['Deutschland'],Deutschland
661,Ludwig Kögl,['Deutschland'],Deutschland
662,Dieter Höller,['Deutschland'],Deutschland
663,Michael Schröder,['Deutschland'],Deutschland
664,Paco Alcacer,['Spanien'],Spanien
665,Gerd-Volker Schock,['Deutschland'],Deutschland
666,Thomas Parits,['Österreich'],Österreich
667,Christian Schulz,['Deutschland'],Deutschland
668,Rouwen Hennings,['Deutschland'],Deutschland
669,Toni Kroos,['Deutschland'],Deutschland
670,Sergio Zárate,['Argentinien'],Argentinien
671,Rainer Zobel,['Deutschland'],Deutschland
672,Bernd Lorenz,['Deutschland'],Deutschland
673,Jan Mattsson,['Schweden'],Schweden
674,Kevin Großkreutz,['Deutschland'],Deutschland
675,Peter Közle,['Deutschland'],Deutschland
