Spieler,DFB_id,link,Nation,Nationalelf
Jesús Vallejo,362657,https://datencenter.dfb.de/profil/362657,['Spanien'],Spanien
Michael Lamey,1869,https://datencenter.dfb.de/profil/1869,['Niederlande'],Niederlande
Dieter Schock,43644,https://datencenter.dfb.de/profil/43644,['Deutschland'],Deutschland
Reinier,395150,https://datencenter.dfb.de/profil/395150,['Brasilien'],Brasilien
Bård Finne,279101,https://datencenter.dfb.de/profil/279101,['Norwegen'],Norwegen
Emir Džafić,47124,https://datencenter.dfb.de/profil/47124,['Slowenien'],Slowenien
Marko Schröder,45822,https://datencenter.dfb.de/profil/45822,['Deutschland'],Deutschland
Horst Ehrmantraut,44996,https://datencenter.dfb.de/profil/44996,['Deutschland'],Deutschland
Sam Lammers,370593,https://datencenter.dfb.de/profil/370593,['Niederlande'],Niederlande
Horst Bender,43274,https://datencenter.dfb.de/profil/43274,['Deutschland'],Deutschland
Dieter Danzberg,42716,https://datencenter.dfb.de/profil/42716,['Deutschland'],Deutschland
Peter Rasmussen,46172,https://datencenter.dfb.de/profil/46172,['Dänemark'],Dänemark
Rudolf Koch,44176,https://datencenter.dfb.de/profil/44176,['Deutschland'],Deutschland
Zezé,43633,https://datencenter.dfb.de/profil/43633,['Brasilien'],Brasilien
